Datum tenaamstelling,Brandstof omschrijving,Kenteken
2003-06-23,Diesel,826
2003-06-23,Benzine,5535
2003-06-24,Diesel,827
2003-06-24,Benzine,5541
2003-06-25,Benzine,5542
2003-06-26,Benzine,5545
2003-06-27,Benzine,5552
2003-06-28,Benzine,5559
2003-06-30,Benzine,5578
2003-06-30,LPG,126
2003-07-01,Benzine,5584
2003-07-02,Diesel,828
2003-07-02,Benzine,5587
2003-07-03,Benzine,5589
2003-07-04,Benzine,5592
2003-07-04,Diesel,830
2003-07-05,Benzine,5594
2003-07-05,LPG,127
2003-07-07,Benzine,5595
2003-07-07,Diesel,831
2003-07-08,Diesel,832
2003-07-08,Benzine,5599
2003-07-09,Diesel,833
2003-07-09,Benzine,5605
2003-07-10,Diesel,835
2003-07-10,Benzine,5606
2003-07-11,Diesel,836
2003-07-11,Benzine,5619
2003-07-12,Benzine,5621
2003-07-14,Benzine,5626
2003-07-15,Benzine,5631
2003-07-15,Diesel,837
2003-07-16,Benzine,5634
2003-07-17,Benzine,5636
2003-07-18,Benzine,5647
2003-07-18,Diesel,839
2003-07-19,Benzine,5649
2003-07-21,Benzine,5651
2003-07-22,Benzine,5655
2003-07-22,Diesel,840
2003-07-23,Benzine,5656
2003-07-24,Benzine,5659
2003-07-24,Diesel,841
2003-07-25,Benzine,5670
2003-07-26,Benzine,5673
2003-07-26,Diesel,842
2003-07-28,Benzine,5677
2003-07-29,Benzine,5682
2003-07-30,Diesel,844
2003-07-30,Benzine,5684
2003-07-31,Benzine,5689
2003-08-01,Benzine,5696
2003-08-01,Diesel,847
2003-08-02,Benzine,5698
2003-08-04,Benzine,5700
2003-08-05,Benzine,5702
2003-08-06,Benzine,5705
2003-08-07,LPG,128
2003-08-07,Benzine,5708
2003-08-08,Benzine,5718
2003-08-12,Benzine,5723
2003-08-12,Diesel,849
2003-08-13,Benzine,5725
2003-08-14,Benzine,5732
2003-08-15,Benzine,5737
2003-08-18,Benzine,5738
2003-08-19,Benzine,5743
2003-08-20,Benzine,5747
2003-08-21,Diesel,851
2003-08-21,Benzine,5752
2003-08-22,Diesel,852
2003-08-22,Benzine,5758
2003-08-23,Benzine,5759
2003-08-25,Benzine,5761
2003-08-25,Diesel,853
2003-08-26,Diesel,854
2003-08-26,Benzine,5764
2003-08-27,Diesel,855
2003-08-27,Benzine,5769
2003-08-28,Benzine,5773
2003-08-28,Diesel,856
2003-08-28,LPG,129
2003-08-29,Benzine,5784
2003-08-30,Benzine,5788
2003-09-01,Benzine,5789
